"time","Graph 0",
2024-08-27T06:08:55.514Z,11111100.000000,
2024-08-27T06:08:55.553Z,11111100.000000,
2024-08-27T06:08:55.585Z,11111100.000000,
2024-08-27T06:08:55.610Z,11111100.000000,
2024-08-27T06:08:55.632Z,11111100.000000,
2024-08-27T06:08:55.652Z,11111100.000000,
2024-08-27T06:08:55.672Z,11111100.000000,
2024-08-27T06:08:55.694Z,11111100.000000,
2024-08-27T06:08:55.716Z,11111100.000000,
2024-08-27T06:08:55.746Z,11111100.000000,
2024-08-27T06:08:55.774Z,11111100.000000,
2024-08-27T06:08:55.799Z,11111100.000000,
2024-08-27T06:08:55.826Z,11111100.000000,
2024-08-27T06:08:55.849Z,11111100.000000,
2024-08-27T06:08:55.875Z,11111100.000000,
2024-08-27T06:08:55.900Z,11111100.000000,
2024-08-27T06:08:55.925Z,11111100.000000,
2024-08-27T06:08:55.950Z,11111100.000000,
2024-08-27T06:08:55.979Z,11111100.000000,
2024-08-27T06:08:56.006Z,11111000.000000,
2024-08-27T06:08:56.033Z,11111000.000000,
2024-08-27T06:08:56.062Z,11111000.000000,
2024-08-27T06:08:56.090Z,11111000.000000,
2024-08-27T06:08:56.120Z,11111000.000000,
2024-08-27T06:08:56.149Z,11101111.000000,
2024-08-27T06:08:56.178Z,11101000.000000,
2024-08-27T06:08:56.215Z,11111000.000000,
2024-08-27T06:08:56.251Z,11111111.000000,
2024-08-27T06:08:56.290Z,10001100.000000,
2024-08-27T06:08:56.331Z,10011000.000000,
2024-08-27T06:08:56.366Z,10101000.000000,
2024-08-27T06:08:56.402Z,10111000.000000,
2024-08-27T06:08:56.437Z,11001000.000000,
2024-08-27T06:08:56.473Z,11111111.000000,
2024-08-27T06:08:56.510Z,11011100.000000,
2024-08-27T06:08:56.547Z,11101000.000000,
2024-08-27T06:08:56.584Z,11011000.000000,
2024-08-27T06:08:56.624Z,11101100.000000,
2024-08-27T06:08:56.663Z,11101110.000000,
2024-08-27T06:08:56.706Z,11111100.000000,
2024-08-27T06:08:56.746Z,11101000.000000,
2024-08-27T06:08:56.790Z,11111000.000000,
2024-08-27T06:08:56.836Z,10001100.000000,
2024-08-27T06:08:56.881Z,10011100.000000,
2024-08-27T06:08:56.926Z,11111111.000000,
2024-08-27T06:08:56.969Z,10101100.000000,
2024-08-27T06:08:57.014Z,10111000.000000,
2024-08-27T06:08:57.060Z,11001000.000000,
2024-08-27T06:08:57.107Z,11011000.000000,
2024-08-27T06:08:57.158Z,11101100.000000,
2024-08-27T06:08:57.214Z,11111111.000000,
2024-08-27T06:08:57.269Z,11011100.000000,
2024-08-27T06:08:57.319Z,11101100.000000,
2024-08-27T06:08:57.371Z,11111100.000000,
2024-08-27T06:08:57.418Z,11101000.000000,
2024-08-27T06:08:57.464Z,11111000.000000,
2024-08-27T06:08:57.506Z,10001100.000000,
2024-08-27T06:08:57.541Z,11111111.000000,
2024-08-27T06:08:57.578Z,10011000.000000,
2024-08-27T06:08:57.615Z,10101100.000000,
2024-08-27T06:08:57.656Z,10101000.000000,
2024-08-27T06:08:57.693Z,10111100.000000,
2024-08-27T06:08:57.730Z,10111100.000000,
2024-08-27T06:08:57.766Z,11001000.000000,
2024-08-27T06:08:57.801Z,11001110.000000,
2024-08-27T06:08:57.836Z,11011000.000000,
2024-08-27T06:08:57.873Z,11011111.000000,
2024-08-27T06:08:57.908Z,11101000.000000,
2024-08-27T06:08:57.942Z,11101100.000000,
2024-08-27T06:08:57.975Z,11011000.000000,
2024-08-27T06:08:58.007Z,11011100.000000,
2024-08-27T06:08:58.038Z,11101100.000000,
2024-08-27T06:08:58.073Z,11101000.000000,
2024-08-27T06:08:58.105Z,11111111.000000,
2024-08-27T06:08:58.140Z,11111000.000000,
2024-08-27T06:08:58.179Z,11111100.000000,
2024-08-27T06:08:58.216Z,11101000.000000,
2024-08-27T06:08:58.253Z,11101100.000000,
2024-08-27T06:08:58.286Z,11111000.000000,
2024-08-27T06:08:58.320Z,10001000.000000,
2024-08-27T06:08:58.354Z,10011100.000000,
2024-08-27T06:08:58.386Z,11111111.000000,
2024-08-27T06:08:58.418Z,10101100.000000,
2024-08-27T06:08:58.452Z,10111000.000000,
2024-08-27T06:08:58.487Z,11001000.000000,
2024-08-27T06:08:58.521Z,11011000.000000,
2024-08-27T06:08:58.555Z,11101000.000000,
2024-08-27T06:08:58.589Z,11011100.000000,
2024-08-27T06:08:58.628Z,11111111.000000,
2024-08-27T06:08:58.662Z,11101100.000000,
2024-08-27T06:08:58.694Z,11111100.000000,
2024-08-27T06:08:58.725Z,11101000.000000,
2024-08-27T06:08:58.758Z,11111000.000000,
2024-08-27T06:08:58.790Z,10001110.000000,
2024-08-27T06:08:58.825Z,10001100.000000,
2024-08-27T06:08:58.856Z,10011000.000000,
2024-08-27T06:08:58.888Z,10101000.000000,
2024-08-27T06:08:58.921Z,10111110.000000,
2024-08-27T06:08:58.955Z,10111100.000000,
2024-08-27T06:08:58.989Z,11001000.000000,
2024-08-27T06:08:59.023Z,11011000.000000,
2024-08-27T06:08:59.058Z,11111111.000000,
2024-08-27T06:08:59.092Z,11101100.000000,
2024-08-27T06:08:59.124Z,11011000.000000,
2024-08-27T06:08:59.157Z,11101000.000000,
2024-08-27T06:08:59.190Z,11111111.000000,
2024-08-27T06:08:59.224Z,11111000.000000,
2024-08-27T06:08:59.264Z,11101000.000000,
2024-08-27T06:08:59.298Z,11111111.000000,
2024-08-27T06:08:59.335Z,11111100.000000,
2024-08-27T06:08:59.370Z,10001000.000000,
2024-08-27T06:08:59.405Z,10011000.000000,
2024-08-27T06:08:59.439Z,11111111.000000,
2024-08-27T06:08:59.473Z,10101000.000000,
2024-08-27T06:08:59.508Z,10111000.000000,
2024-08-27T06:08:59.543Z,11111111.000000,
2024-08-27T06:08:59.576Z,11001000.000000,
2024-08-27T06:08:59.622Z,11011000.000000,
2024-08-27T06:08:59.657Z,11111111.000000,
2024-08-27T06:08:59.693Z,11101100.000000,
2024-08-27T06:08:59.727Z,11011000.000000,
2024-08-27T06:08:59.761Z,11101110.000000,
2024-08-27T06:08:59.793Z,11101000.000000,
2024-08-27T06:08:59.828Z,11111000.000000,
2024-08-27T06:08:59.860Z,11111100.000000,
2024-08-27T06:08:59.894Z,11101000.000000,
2024-08-27T06:08:59.928Z,11111111.000000,
2024-08-27T06:08:59.962Z,11111000.000000,
2024-08-27T06:08:59.995Z,10001100.000000,
2024-08-27T06:08:00.032Z,10001000.000000,
2024-08-27T06:08:00.065Z,10011100.000000,
2024-08-27T06:08:00.099Z,10011100.000000,
2024-08-27T06:08:00.133Z,10101000.000000,
2024-08-27T06:08:00.168Z,10101100.000000,
2024-08-27T06:08:00.202Z,10111000.000000,
2024-08-27T06:08:00.236Z,10111100.000000,
2024-08-27T06:08:00.271Z,11001000.000000,
2024-08-27T06:08:00.306Z,11001110.000000,
2024-08-27T06:08:00.341Z,11011000.000000,
2024-08-27T06:08:00.376Z,11111111.000000,
2024-08-27T06:08:00.409Z,11101000.000000,
2024-08-27T06:08:00.443Z,11111111.000000,
2024-08-27T06:08:00.475Z,11011000.000000,
2024-08-27T06:08:00.509Z,11011100.000000,
2024-08-27T06:08:00.541Z,11101000.000000,
2024-08-27T06:08:00.576Z,11101100.000000,
2024-08-27T06:08:00.611Z,11111100.000000,
2024-08-27T06:08:00.644Z,11111000.000000,
2024-08-27T06:08:00.676Z,11101100.000000,
2024-08-27T06:08:00.710Z,11101000.000000,
2024-08-27T06:08:00.742Z,11101110.000000,
2024-08-27T06:08:00.774Z,11111000.000000,
2024-08-27T06:08:00.805Z,11111000.000000,
2024-08-27T06:08:00.838Z,10001100.000000,
2024-08-27T06:08:00.869Z,10001000.000000,
2024-08-27T06:08:00.901Z,10001100.000000,
2024-08-27T06:08:00.933Z,10011100.000000,
2024-08-27T06:08:00.965Z,10011000.000000,
